Code,State,Persons,Males,Females,Ratio
,India@,1028737436,532223090,496514346,933
1,Jammu And Kashmir,10143700,5360926,4782774,892
2,Himachal Pradesh,6077900,3087940,2989960,968
3,Punjab,24358999,12985045,11373954,876
4,Chandigarh,900635,506938,393697,777
5,Uttarakhand,8489349,4325924,4163425,962
6,Haryana,21144564,11363953,9780611,861
7,Delhi,13850507,7607234,6243273,821
8,Rajasthan,56507188,29420011,27087177,921
9,Uttar Pradesh,166197921,87565369,78632552,898
10,Bihar,82998509,43243795,39754714,919
11,Sikkim,540851,288484,252367,875
12,Arunachal Pradesh,1097968,579941,518027,893
13,Nagaland,1990036,1047141,942895,900
14,Manipur,2166788,1095634,1071154,978
15,Mizoram,888573,459109,429464,935
16,Tripura,3199203,1642225,1556978,948
17,Meghalaya,2318822,1176087,1142735,972
18,Assam,26655528,13777037,12878491,935
19,West Bengal,80176197,41465985,38710212,934
20,Jharkhand,26945829,13885037,13060792,941
21,Orissa,36804660,18660570,18144090,972
22,Chhattisgarh,20833803,10474218,10359585,989
23,Madhya Pradesh,60348023,31443652,28904371,919
24,Gujarat,50671017,26385577,24285440,920
25,Daman & Diu,158204,92512,65692,710
26,Dadra & Nagar Haveli,220490,121666,98824,812
27,Maharashtra,96878627,50400596,46478031,922
28,Andhra Pradesh,76210007,38527413,37682594,978
29,Karnataka,52850562,26898918,25951644,965
30,Goa,1347668,687248,660420,961
31,Lakshadweep,60650,31131,29519,948
32,Kerala,31841374,15468614,16372760,1058
33,Tamil Nadu,62405679,31400909,31004770,987
34,Pondicherry,974345,486961,487384,1001
35,Andaman & Nicobar Islands,356152,192972,163180,846
